,Country Name,hospital_beds,Health expenditure per capita,Health expenditure out of pocket per capita,Physicians per 1000 people,handwashing facilities %,Total tests per thousand
0,Afghanistan,0.5,67.12265014648439,75.48257708549501,,37.7460320188898,
1,Armenia,4.2,407.635864257813,84.348076581955,,94.04294137352508,
2,Bangladesh,0.8,36.2823371887207,73.88473749160771,0.5268,34.8076036069316,0.363
3,Brunei Darussalam,2.7,671.4114990234381,5.17660900950432,,,
4,Costa Rica,1.2,869.077758789063,21.2553903460503,,,1.811
5,Czech Republic,6.5,1475.91516113281,14.8091018199921,,,22.634
6,Denmark,2.5,5800.1513671875,13.7384653091431,,,31.087
7,Algeria,1.9,258.494293212891,32.5488388538361,,83.7406026903617,
8,Estonia,5.0,1300.48168945313,23.6646249890327,,,39.755
9,Ethiopia,0.3,25.261953353881804,34.4089895486832,0.1,7.96038974707188,0.14300000000000002
10,Finland,4.4,4205.74267578125,20.2274233102798,,,17.453
11,Greece,4.3,1516.58776855469,34.7502082586288,,,6.92
12,Croatia,5.6,902.1396484375,10.973251610994302,,,8.398
13,Indonesia,1.2,114.971786499023,34.6057176589966,0.3777,64.20361857548511,0.248
14,Jordan,1.4,340.66180419921903,30.427426099777197,2.3436,,
15,Cambodia,0.8,82.07586669921879,60.4358732700348,,66.2286220956706,
16,Kiribati,1.9,171.41748046875,0.11221959721297,,,
17,"Korea, Rep.",11.5,2283.07470703125,33.6690425872803,2.3661,,
18,Luxembourg,4.8,5782.62841796875,10.689541697502099,3.0266,,66.709
19,Mexico,1.5,494.677642822266,41.2832766771317,,87.8466842172696,0.608
20,Malaysia,1.9,384.066070556641,37.947195768356295,,,4.763999999999999
21,Niger,0.3,29.2616500854492,47.82851338386539,,,
22,Singapore,2.4,2618.71240234375,32.1252405643463,,,
23,Slovak Republic,5.8,1186.13635253906,18.713185191154498,,,
24,Tunisia,2.3,250.562225341797,39.120161533355706,,78.68689064878329,1.942
25,Angola,,114.45964050293001,34.1210126876831,0.2149,26.664182570942803,
26,Andorra,,4040.78662109375,41.777053475379894,,,
27,United Arab Emirates,,1357.01745605469,18.867440521717104,,,
28,Argentina,,1324.603515625,15.018527209758801,3.96,,1.24
29,Antigua and Barbuda,,673.859680175781,34.9848866462708,2.7647,,
30,Australia,,5331.81787109375,18.1521028280258,,,21.35
31,Austria,,4939.87548828125,19.2032665014267,,,27.509
32,Azerbaijan,,275.809356689453,83.85614156723021,,83.2413,
33,Burundi,,23.500432968139602,25.462976098060604,,6.144099368086111,
34,Belgium,,4507.3564453125,17.638222873210896,,,26.344
35,Benin,,30.7664470672607,44.979926943779,,11.034913429605501,
36,Burkina Faso,,44.403491973877,31.677594780921897,,11.877389332001,
37,Bulgaria,,663.715087890625,46.552568674087496,,,6.506
38,Bahrain,,1127.18627929688,30.5521756410599,,,74.581
39,"Bahamas, The",,1771.53552246094,30.982467532157898,1.9373,,
40,Bosnia and Herzegovina,,460.473327636719,29.1393101215363,,,
41,Belarus,,342.499908447266,27.5150001049042,,,
42,Belize,,280.498809814453,24.1548627614975,1.1262,90.082766643261,
43,Bolivia,,220.274566650391,25.0778466463089,,25.3828990744977,0.5489999999999999
44,Brazil,,928.79931640625,27.455493807792696,2.1502,,
45,Barbados,,1183.83618164063,46.3035732507706,2.4886,,
46,Bhutan,,96.7993011474609,13.3064657449722,0.3715,,
47,Botswana,,465.929321289063,2.99324225634336,,,
48,Central African Republic,,24.1500549316406,31.1890989542007,,,
49,Canada,,4754.94775390625,14.219750463962601,2.6102,,20.095
50,Switzerland,,9956.259765625,28.946986794471698,,,30.594
51,Chile,,1381.98620605469,33.534181118011496,,,9.03
52,China,,440.825622558594,36.0504120588303,,,
53,Cote d'Ivoire,,69.74924468994139,39.3607437610626,,19.3507969404948,
54,Cameroon,,67.8118133544922,70.9576010704041,,9.40206643360047,
55,"Congo, Dem. Rep.",,19.4316463470459,40.12472033500671,,4.47159745510342,
56,"Congo, Rep.",,49.9837226867676,48.4012395143509,,47.9636724613661,
57,Colombia,,459.197570800781,16.3084268569946,2.0835,65.3857581074716,1.9680000000000002
58,Comoros,,58.760929107665994,74.6471285820007,,,
59,Cabo Verde,,167.589614868164,28.896477818489103,,,
60,Cuba,,987.6270141601559,10.482663661241501,8.19,85.19820752086929,4.18
61,Cyprus,,1731.69445800781,44.6320354938507,,,
62,Germany,,5033.4521484375,12.6729190349579,,,
63,Djibouti,,70.3308944702148,26.5042155981064,,,
64,Dominica,,439.59445190429705,30.954957008361802,1.0825,,
65,Dominican Republic,,433.208587646484,44.738197326660206,1.56,55.181980957228795,
66,Ecuador,,518.029602050781,39.3985062837601,,80.6347784463545,1.909
67,"Egypt, Arab Rep.",,105.768455505371,60.0825130939484,0.7902,89.8269694459489,
68,Eritrea,,32.911998748779304,59.1215252876282,,,
69,Spain,,2506.46484375,23.5657900571823,,,
70,European Union,,3261.42692472469,15.8184501873583,,,
71,Fragile and conflict affected situations,,81.409367173405,61.6269654533574,,38.010549023985206,
72,Fiji,,188.41432189941398,15.594248473644303,,,
73,France,,4379.72705078125,9.384219348430632,,,
74,"Micronesia, Fed. Sts.",,424.80978393554705,2.4035306647419903,,,
75,Gabon,,204.492248535156,25.1563906669617,,,
76,United Kingdom,,3858.67431640625,15.956822037696801,2.8058,,9.321
77,Georgia,,293.053588867188,54.7619044780731,,,
78,Ghana,,66.74941253662111,40.2916967868805,0.18,41.0473083819571,
79,Guinea,,33.7201118469238,56.683546304702794,,17.4497171149057,
80,"Gambia, The",,23.272325515747102,22.031408548355103,,7.87626629083994,
81,Guinea-Bissau,,52.3594093322754,72.0612049102783,,6.4029370885961105,
82,Equatorial Guinea,,301.150054931641,76.79201364517209,0.4,,
83,Grenada,,497.23605346679705,52.4138391017914,1.4471,,
84,Guatemala,,259.935028076172,54.1341066360474,,76.66550362077241,
85,Guyana,,230.527282714844,32.4706435203552,,77.15941492224421,
86,Honduras,,195.935745239258,48.7016767263412,0.3144,,
87,Haiti,,62.3532791137695,40.2279019355774,,22.8627462636951,
88,Hungary,,981.4230346679691,26.894325017929102,,,7.277
89,India,,69.293098449707,62.4015033245087,0.7776,59.549687518251496,0.5589999999999999
90,Ireland,,4976.8623046875,12.2811168432236,3.0861,,
91,"Iran, Islamic Rep.",,475.47994995117205,41.756564378738396,,,
92,Iraq,,210.31370544433602,58.0432951450348,0.8217,94.5759477772468,
93,Iceland,,6086.3115234375,16.480378806591002,3.9701,,141.749
94,Israel,,3144.62622070313,22.250886261463197,,,42.281000000000006
95,Italy,,2840.13061523438,23.4858065843582,4.0931,,31.603
96,Jamaica,,307.196044921875,17.2296956181526,1.3199,,
97,Japan,,4168.986328125,12.847717106342301,,,1.2990000000000002
98,Kazakhstan,,279.64532470703097,33.1494748592377,,98.9993740478602,12.378
99,Kenya,,76.6103210449219,24.043312668800397,,24.6510436992189,0.332
100,Kyrgyz Republic,,78.8228378295898,56.376630067825296,,89.2204016807518,
101,St. Kitts and Nevis,,902.6589965820309,47.7699160575867,,,
102,Kuwait,,1529.07763671875,12.615309655666401,,,
103,Lao PDR,,62.1246337890625,46.1833655834198,,49.839156544980895,
104,Lebanon,,719.443481445313,33.2187473773956,2.271,,
105,Liberia,,56.599029541015604,45.5063581466675,,1.18848043978493,
106,St. Lucia,,460.06881713867205,44.753098487854004,,,
107,Sri Lanka,,159.48474121093798,49.7577965259552,0.958,,
108,Lesotho,,104.55279541015601,16.642640531063098,,2.11711141089109,
109,Lithuania,,1078.17919921875,32.2738111019135,,,43.42
110,Latvia,,930.3523559570309,41.9875770807266,,,29.059
111,Morocco,,161.01086425781298,53.936213254928596,0.7273,,0.892
112,Monaco,,2932.421875,6.88783898949623,,,
113,Moldova,,191.18577575683602,43.6354845762253,,,
114,Madagascar,,24.670837402343803,24.6854111552238,,,
115,Maldives,,1006.93878173828,20.6469982862473,,95.80286293667591,
116,Marshall Islands,,642.199157714844,12.413543462753301,,82.50216728356891,
117,North Macedonia,,328.419799804688,31.9056153297424,,,
118,Mali,,31.3781051635742,35.113012790679896,,52.2320839184474,
119,Malta,,2585.56396484375,34.7537875175476,,,
120,Myanmar,,58.0439567565918,76.2309670448303,0.8640000000000001,79.287085479675,0.145
121,Mongolia,,148.78445434570298,32.1524679660797,,71.1795489061304,
122,Mozambique,,21.0711555480957,7.395334541797639,0.0735,,
123,Mauritania,,48.8171310424805,49.545481801033,0.179,42.999048887847,
124,Mauritius,,599.699768066406,48.8656491041183,,,
125,Malawi,,32.2593841552734,10.5903871357441,,8.703956048183,
126,Namibia,,447.280639648438,7.734195142984389,,44.599903852755396,
127,Nigeria,,73.9249801635742,77.2248029708862,,41.948915330675895,0.062
128,Nicaragua,,192.083389282227,32.5990498065948,,,
129,Netherlands,,4911.4404296875,11.0869333148003,,,12.947000000000001
130,Norway,,7936.375,14.1772866249084,4.6336,,31.197
131,Nepal,,47.9153633117676,57.79855251312261,0.6507,47.7818400003274,0.396
132,Nauru,,1106.7509765625,0.9245186112821099,,,
133,New Zealand,,3937.22192382813,13.577073812484699,,,27.906
134,Oman,,587.646301269531,6.69259130954742,1.9697,,
135,Pakistan,,44.5929641723633,60.2368772029877,,59.6069124587634,0.7509999999999999
136,Panama,,1112.30322265625,33.2700669765472,,,6.915
137,Peru,,332.570922851563,28.188258409500104,,,8.116
138,Philippines,,132.900985717773,53.045779466629,,78.4629630309315,0.852
139,Palau,,1596.36291503906,15.457022190094,,,
140,Papua New Guinea,,61.45783996582029,8.998544514179232,,,
141,Poland,,906.8201293945309,23.0497926473618,,,8.575
142,Portugal,,1908.0339355468802,27.532079815864602,,,40.285
143,Paraguay,,381.11306762695295,44.1762536764145,0.2399,79.6015253008444,1.3230000000000002
144,Qatar,,1649.18615722656,8.902657777071001,0.0008,,31.73
145,Romania,,555.104736328125,20.4880461096764,,,8.681000000000001
146,Russian Federation,,585.873229980469,40.4930830001831,,,
147,Rwanda,,49.2044563293457,6.24799951910973,0.1346,4.61727834496984,1.8530000000000002
148,Saudi Arabia,,1093.40551757813,16.859786212444302,,,
149,Sudan,,193.793045043945,72.47966527938841,,23.4373649642129,
150,Senegal,,55.0140380859375,52.3998200893402,,24.1458760766427,0.64
151,Solomon Islands,,101.239868164063,5.39916232228279,,35.889673180154205,
152,Sierra Leone,,66.4021835327148,50.412553548812895,,19.2751381624786,
153,El Salvador,,282.49102783203097,29.196450114250197,,90.6496848510482,3.7089999999999996
154,San Marino,,3361.64477539063,17.333999276161197,,,
155,Serbia,,528.545166015625,41.7523622512817,,,11.600999999999999
156,South Sudan,,22.888572692871104,19.1928148269653,,,
157,Sao Tome and Principe,,119.695655822754,13.7765601277351,,41.339874618113704,
158,Suriname,,339.327972412109,26.3795912265778,,,
159,Slovenia,,1920.28186035156,12.3281687498093,,,25.469
160,Sweden,,5904.583984375,15.0326043367386,,,
161,Eswatini,,224.736770629883,10.4967460036278,,24.0969633445971,
162,Seychelles,,791.6566772460941,24.599426984787,,,
163,Chad,,29.730863571167003,58.0231606960297,,5.81809377998824,
164,Togo,,38.048713684081996,58.42012763023379,,10.4748055917358,
165,Thailand,,247.035110473633,11.1465625464916,0.8096,83.9233581954672,0.889
166,Tajikistan,,57.8998527526855,63.152414560318,,72.703504543367,
167,Turkmenistan,,456.482666015625,72.758024930954,,100.0,
168,Timor-Leste,,83.1977081298828,8.34491550922394,0.7197,28.178228837772398,
169,Tonga,,222.015487670898,10.6305524706841,,,
170,Trinidad and Tobago,,1124.09167480469,39.7774338722229,,,
171,Turkey,,444.653686523438,17.3842012882233,,,11.757
172,Tuvalu,,622.176696777344,0.5221799015998839,,,
173,Tanzania,,33.916576385498,24.0961372852325,,47.9526927093602,
174,Uganda,,38.426441192627,39.0714079141617,,21.2224894594787,0.64
175,Ukraine,,177.408889770508,52.316921949386604,,,2.39
176,Uruguay,,1591.533203125,17.5494343042374,5.0499,,5.222
177,United States,,10246.138671875,10.9929218888283,,,18.206
178,Uzbekistan,,98.82457733154301,53.431361913681,,,
179,St. Vincent and the Grenadines,,320.593292236328,31.187421083450303,,,
180,"Venezuela, RB",,94.22937774658199,62.9878759384155,,,
181,Vietnam,,129.57595825195298,45.2579379081726,,85.8465441491179,2.681
182,Vanuatu,,105.66652679443399,8.96036028862,,25.2091496960843,
183,Samoa,,233.06506347656298,11.8570581078529,,,
184,South Africa,,499.237548828125,7.7669233083725,0.9101,43.9925735928541,3.324
185,Zambia,,67.6486663818359,11.849131435155899,,13.938080013633598,
186,Zimbabwe,,110.149620056152,20.6223398447037,,36.7912611732953,0.514
187,Libya,,,,2.1581,,
188,"Korea, Dem. Peopleâ€™s Rep.",,,,3.6745,,
189,Arab World,,,,,70.1717347207878,
190,Early-demographic dividend,,,,,59.4864040602994,
191,Heavily indebted poor countries (HIPC),,,,,19.5349669672988,
192,IDA total,,,,,35.6299418893405,
193,IDA blend,,,,,46.03926554488971,
194,IDA only,,,,,30.1523452285637,
195,Least developed countries: UN classification,,,,,28.278144819925398,
196,Low income,,,,,23.218915664450805,
197,Lower middle income,,,,,57.333709419771395,
198,Pre-demographic dividend,,,,,29.825963408945604,
199,South Asia,,,,,56.704852324673794,
200,Somalia,,,,,9.83124898319752,
201,Sub-Saharan Africa (excluding high income),,,,,25.4565701684791,
202,Sub-Saharan Africa,,,,,25.4565701684791,
203,Syrian Arab Republic,,,,,70.59808972086591,
204,South Asia (IDA & IBRD),,,,,56.704852324673794,
205,Sub-Saharan Africa (IDA & IBRD countries),,,,,25.4565701684791,
206,"Yemen, Rep.",,,,,49.5423544284257,
207,Iran,,,,,,5.398
208,"Italy, people tested",,,,,,21.724
209,"Japan, tests performed",,,,,,2.113
210,Russia,,,,,,22.638
211,Slovakia,,,,,,14.898
212,South Korea,,,,,,11.98
213,Taiwan,,,,,,2.639
214,"United Kingdom, tests performed",,,,,,12.058
